BookYear,Petrels,DaysSept1,Time
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2014,0,70,PM
2015,0,70,PM
2017,0,70,PM
1994,0,71,PM
1995,0,71,PM
1997,0,71,PM
2001,0,71,PM
2009,0,71,PM
2012,0,71,PM
2012,0,71,PM
2016,0,71,PM
1988,0,72,PM
1989,0,72,PM
1991,0,72,PM
1993,0,72,PM
1998,0,72,PM
1999,0,72,PM
2014,0,72,PM
1992,0,73,PM
2000,0,73,PM
1996,0,74,PM
2002,0,74,PM
2007,0,74,PM
2018,1,74,PM
1988,0,75,PM
1994,0,75,PM
2001,0,75,PM
2008,0,75,PM
2010,0,75,PM
2013,0,75,PM
2015,0,75,PM
2016,3,75,PM
1995,0,76,PM
1997,0,76,PM
2009,0,76,PM
2012,0,76,PM
2017,1,76,PM
2017,1,76,PM
2022,0,76,PM
1991,0,77,PM
1993,0,77,PM
1998,0,77,PM
1999,0,77,PM
2014,0,77,PM
1992,0,78,PM
2000,0,78,PM
2004,1,78,PM
2018,1,78,PM
1989,0,79,PM
1996,0,79,PM
2002,0,79,PM
2007,0,79,PM
1994,0,80,PM
2008,0,80,PM
2010,0,80,PM
2013,0,80,PM
2015,0,80,PM
2016,2,80,PM
2009,0,81,PM
2012,0,81,PM
2017,0,81,PM
1991,0,82,PM
1993,0,82,PM
1999,0,82,PM
2001,0,82,PM
2014,1,82,PM
1992,0,83,PM
1995,0,83,PM
1997,0,83,PM
2000,0,83,PM
2004,2,83,PM
2018,1,83,PM
1996,0,84,PM
1998,0,84,PM
2002,0,84,PM
2007,0,84,PM
2001,0,85,PM
2008,0,85,PM
2010,0,85,PM
2013,0,85,PM
2015,1,85,PM
2016,1,85,PM
2017,1,85,PM
1994,0,86,PM
2009,6,86,PM
2012,0,86,PM
1991,0,87,PM
1993,0,87,PM
1995,0,87,PM
1997,0,87,PM
1999,1,87,PM
1992,0,88,PM
2000,0,88,PM
2004,1,88,PM
2006,1,88,PM
2014,0,88,PM
2018,7,88,PM
1988,0,89,PM
1996,0,89,PM
1998,0,89,PM
2002,0,89,PM
2007,0,89,PM
1994,0,90,PM
2001,0,90,PM
2008,0,90,PM
2010,0,90,PM
2013,0,90,PM
2015,0,90,PM
2016,3,90,PM
2017,21,90,PM
1993,0,91,PM
1995,1,91,PM
1997,0,91,PM
2009,0,91,PM
2012,1,91,PM
1991,0,92,PM
1992,0,93,PM
1998,0,93,PM
1999,1,93,PM
2000,0,93,PM
2014,1,93,PM
1996,0,94,PM
2002,0,94,PM
2007,0,94,PM
1994,0,95,PM
2001,0,95,PM
2008,0,95,PM
2010,0,95,PM
2013,1,95,PM
2015,11,95,PM
2016,2,95,PM
2017,1,95,PM
1995,0,96,PM
1999,1,96,PM
2009,0,96,PM
2012,1,96,PM
1993,0,97,PM
1993,0,97,PM
2003,1,97,PM
1991,0,98,PM
1992,0,98,PM
2000,0,98,PM
2006,1,98,PM
2014,12,98,PM
1988,2,99,PM
1996,0,99,PM
1998,0,99,PM
2002,0,99,PM
2007,0,99,PM
2015,63,99,PM
1994,0,100,PM
1997,0,100,PM
2001,0,100,PM
2008,0,100,PM
2010,0,100,PM
2013,0,100,PM
2015,18,100,PM
2016,0,100,PM
2017,1,100,PM
1988,0,101,PM
2009,2,101,PM
2012,4,101,PM
1993,0,102,PM
1999,0,102,PM
1991,0,103,PM
1992,0,103,PM
1995,0,103,PM
2014,54,103,PM
2014,18,103,PM
