BookYear,Petrels,DaysSept1,Time
2016,1,160,AM
2021,5,160,AM
1990,3,161,PM
1992,0,161,PM
1993,16,161,PM
1997,0,161,PM
2002,19,161,PM
2006,29,161,PM
2010,0,161,PM
2011,1,161,PM
1989,3,161,AM
1990,20,161,AM
1992,0,161,AM
1996,6,161,AM
1999,10,161,AM
2000,3,161,AM
2001,3,161,AM
2003,2,161,AM
2005,20,161,AM
2007,0,161,AM
2008,7,161,AM
2009,2,161,AM
2010,0,161,AM
2012,1,161,AM
2015,2,161,AM
2016,4,161,AM
2017,16,161,AM
2018,4,161,AM
2019,2,161,AM
2022,5,161,AM
1989,23,162,PM
1990,1,162,PM
1994,34,162,PM
1994,0,162,PM
1995,4,162,PM
1996,9,162,PM
1998,25,162,PM
1999,3,162,PM
2001,2,162,PM
2014,1,162,PM
2019,0,162,PM
2020,10,162,PM
2022,0,162,PM
2023,0,162,PM
1989,12,162,AM
1993,0,162,AM
1994,9,162,AM
1995,12,162,AM
1997,25,162,AM
1998,4,162,AM
1999,2,162,AM
2002,17,162,AM
2004,3,162,AM
2006,3,162,AM
2013,4,162,AM
2014,12,162,AM
2016,3,162,AM
2021,8,162,AM
1990,2,163,PM
1993,11,163,PM
1996,7,163,PM
1997,3,163,PM
2000,5,163,PM
2015,21,163,PM
1989,18,163,AM
1992,0,163,AM
1995,8,163,AM
1996,3,163,AM
2000,7,163,AM
2001,20,163,AM
2003,4,163,AM
2005,3,163,AM
2007,2,163,AM
2008,2,163,AM
2009,0,163,AM
2010,2,163,AM
2012,22,163,AM
2015,11,163,AM
2016,4,163,AM
2017,2,163,AM
2018,2,163,AM
2019,2,163,AM
2022,2,163,AM
1990,3,164,PM
1990,0,164,PM
1994,0,164,PM
1995,0,164,PM
1996,3,164,PM
1998,25,164,PM
2003,9,164,PM
2008,0,164,PM
2009,3,164,PM
2017,2,164,PM
2020,1,164,PM
1989,6,164,AM
1990,5,164,AM
1993,0,164,AM
1994,12,164,AM
1995,3,164,AM
1997,31,164,AM
1998,6,164,AM
1999,3,164,AM
2002,12,164,AM
2004,6,164,AM
2006,3,164,AM
2013,2,164,AM
2016,2,164,AM
2021,2,164,AM
1990,0,165,PM
1995,0,165,PM
1996,25,165,PM
1996,6,165,PM
2003,19,165,PM
2011,1,165,PM
2016,0,165,PM
2018,2,165,PM
1989,8,165,AM
1990,5,165,AM
1995,5,165,AM
1997,8,165,AM
2000,14,165,AM
2001,9,165,AM
2002,26,165,AM
2003,1,165,AM
2005,2,165,AM
2007,0,165,AM
2008,1,165,AM
2009,3,165,AM
2010,1,165,AM
2012,2,165,AM
2015,2,165,AM
2016,5,165,AM
2017,6,165,AM
2019,6,165,AM
2022,4,165,AM
1987,65,166,PM
1989,1,166,PM
1994,0,166,PM
1995,0,166,PM
1996,0,166,PM
2002,1,166,PM
2006,1,166,PM
2010,0,166,PM
2013,16,166,PM
1993,0,166,AM
1994,9,166,AM
1999,8,166,AM
2002,14,166,AM
2004,3,166,AM
2006,1,166,AM
2013,14,166,AM
2016,0,166,AM
1993,5,167,PM
1996,11,167,PM
1999,1,167,PM
1992,0,167,AM
1995,12,167,AM
1997,19,167,AM
1998,2,167,AM
2000,4,167,AM
2001,7,167,AM
2002,27,167,AM
2003,6,167,AM
2005,1,167,AM
2007,0,167,AM
2008,1,167,AM
2009,1,167,AM
2010,2,167,AM
2012,4,167,AM
2015,6,167,AM
2016,6,167,AM
2017,10,167,AM
2019,4,167,AM
2021,4,167,AM
2022,4,167,AM
2001,7,168,PM
2003,36,168,PM
2023,0,168,PM
1999,2,168,AM
2002,14,168,AM
2004,0,168,AM
2006,1,168,AM
2013,2,168,AM
1993,20,169,PM
1995,8,169,PM
1996,7,169,PM
1998,0,169,PM
2000,0,169,PM
2003,10,169,PM
2008,0,169,PM
2009,12,169,PM
2017,1,169,PM
1992,0,169,AM
1994,8,169,AM
1995,6,169,AM
1997,2,169,AM
2000,14,169,AM
2001,3,169,AM
2002,8,169,AM
2003,2,169,AM
2005,3,169,AM
2007,0,169,AM
2008,6,169,AM
2010,1,169,AM
2012,6,169,AM
2016,2,169,AM
2017,2,169,AM
2021,4,169,AM
1995,19,170,PM
2002,8,170,PM
2010,0,170,PM
2011,1,170,PM
2013,1,170,PM
2018,10,170,PM
1994,19,170,AM
1999,3,170,AM
2001,8,170,AM
2002,10,170,AM
2004,1,170,AM
2006,1,170,AM
2009,1,170,AM
2013,3,170,AM
1987,27,171,PM
2003,0,171,AM
2005,1,171,AM
2007,1,171,AM
2008,8,171,AM
2010,3,171,AM
2012,1,171,AM
2017,4,171,AM
1995,9,172,PM
2014,5,172,PM
1994,9,172,AM
1999,7,172,AM
2002,5,172,AM
2004,1,172,AM
2006,2,172,AM
2009,2,172,AM
2013,2,172,AM
2000,4,173,PM
2001,2,173,PM
2003,6,173,PM
2000,2,173,AM
2002,12,173,AM
2003,2,173,AM
2005,1,173,AM
2008,1,173,AM
2010,0,173,AM
2012,5,173,AM
2017,5,173,AM
1995,5,174,PM
2003,10,174,PM
2009,1,174,PM
1994,5,174,AM
2003,11,174,AM
2004,1,174,AM
2006,1,174,AM
2009,0,174,AM
2013,4,174,AM
2010,2,175,PM
2011,0,175,PM
2013,1,175,PM
2018,1,175,PM
2002,11,175,AM
2003,3,175,AM
2005,1,175,AM
2008,1,175,AM
2010,1,175,AM
2012,1,175,AM
2017,8,175,AM
2003,5,176,PM
2002,4,176,AM
2006,2,176,AM
2009,10,176,AM
2013,2,176,AM
2003,5,177,PM
2002,5,177,AM
2003,1,177,AM
2008,1,177,AM
2010,2,177,AM
2012,3,177,AM
2005,5,178,AM
2009,5,178,AM
2007,1,179,AM
2012,1,179,AM
2008,0,180,PM
2005,3,180,AM
2009,17,180,AM
2013,0,181,PM
2012,2,181,AM
2008,0,184,PM
2013,1,184,PM
2010,6,185,PM
1995,1,186,PM
2008,0,189,PM
2010,1,189,PM
1995,1,191,PM
2008,0,194,PM
2010,0,195,PM
1995,5,197,PM
2008,1,199,PM
2010,0,200,PM
1995,0,204,PM
2008,1,204,PM
2010,1,205,PM
2008,1,209,PM
2010,0,210,PM
1995,1,211,PM
1995,0,214,PM
2008,0,214,PM
2022,0,215,PM
1995,0,218,PM
1995,9,219,PM
2008,2,219,PM
1995,4,220,PM
2010,0,220,PM
1996,0,222,PM
2008,0,224,PM
1996,0,225,PM
2022,3,225,PM
2023,1,226,PM
2023,0,226,PM
2023,2,227,PM
2023,1,227,PM
2023,0,228,PM
2023,0,228,PM
2008,0,229,PM
2023,10,230,PM
2023,2,230,PM
2023,1,231,PM
2023,1,232,PM
2023,0,232,PM
2023,1,233,PM
2014,1,235,AM
2014,3,236,AM
