BookYear,JulianDay,DaysSept1,DateFull,Weightkg
2022,22,164,1/22/23,3.1
2022,22,164,1/22/23,3.3
2022,22,164,1/22/23,3.1
2022,22,164,1/22/23,3.45
2022,22,164,1/22/23,3.45
2022,22,164,1/22/23,2.25
2022,22,164,1/22/23,3.5
2017,23,165,1/23/18,3.4
2017,23,165,1/23/18,3.35
2018,23,165,1/23/19,2.47
2018,23,165,1/23/19,2.7
2018,23,165,1/23/19,2.77
2018,23,165,1/23/19,3.3
2018,23,165,1/23/19,3.25
2018,23,165,1/23/19,3
2018,23,165,1/23/19,3.2
2022,23,165,1/23/23,2.7
2022,23,165,1/23/23,2.9
2022,23,165,1/23/23,3.4
2022,23,165,1/23/23,2.9
2022,23,165,1/23/23,3.25
2022,23,165,1/23/23,3.2
2022,23,165,1/23/23,3.75
2022,23,165,1/23/23,2.75
2022,23,165,1/23/23,3.55
2022,23,165,1/23/23,3.4
2022,23,165,1/23/23,3.15
2022,23,165,1/23/23,3.25
2022,23,165,1/23/23,3.4
2022,23,165,1/23/23,2.75
2006,24,166,1/24/07,3
2006,24,166,1/24/07,3.3
2006,24,166,1/24/07,3.3
2006,24,166,1/24/07,2.6
2006,24,166,1/24/07,2.725
2006,24,166,1/24/07,3.45
2006,24,166,1/24/07,1.825
2006,24,166,1/24/07,3.1
2013,24,166,1/24/14,2.7
2013,24,166,1/24/14,3.05
2013,24,166,1/24/14,2.58
2013,24,166,1/24/14,2.93
2013,24,166,1/24/14,3.19
2013,24,166,1/24/14,2.57
2013,24,166,1/24/14,3.07
2013,24,166,1/24/14,3
2013,24,166,1/24/14,2.9
2013,24,166,1/24/14,3.11
2013,24,166,1/24/14,2.75
2019,24,166,1/24/20,3.55
2013,25,167,1/25/14,3.31
2013,25,167,1/25/14,2.9
2013,25,167,1/25/14,2.94
2013,25,167,1/25/14,2.8
2013,25,167,1/25/14,2.43
2013,25,167,1/25/14,2.22
2013,25,167,1/25/14,2.92
2019,25,167,1/25/20,3.15
2019,25,167,1/25/20,3.35
2019,25,167,1/25/20,2.75
2019,25,167,1/25/20,3.55
2019,25,167,1/25/20,3.1
2019,25,167,1/25/20,1.6
2022,25,167,1/25/23,3.2
2022,25,167,1/25/23,2.55
2022,25,167,1/25/23,3.1
2022,25,167,1/25/23,2.9
2012,26,168,1/26/13,3.25
2012,26,168,1/26/13,2.9
2012,26,168,1/26/13,3.5
2012,26,168,1/26/13,3.55
2012,26,168,1/26/13,3.45
2012,26,168,1/26/13,3.55
2006,27,169,1/27/07,3.35
2006,27,169,1/27/07,2.7
2006,27,169,1/27/07,3.2
2006,27,169,1/27/07,3.22
2006,27,169,1/27/07,2.6
2006,27,169,1/27/07,2.72
2006,27,169,1/27/07,3.15
2006,27,169,1/27/07,3.27
2006,27,169,1/27/07,4.05
2006,27,169,1/27/07,2.55
2006,27,169,1/27/07,2.43
2006,27,169,1/27/07,2.95
2006,27,169,1/27/07,2.6
2006,27,169,1/27/07,3.45
2006,27,169,1/27/07,2.07
2006,27,169,1/27/07,3.05
2006,27,169,1/27/07,3.57
2006,27,169,1/27/07,2.88
2006,27,169,1/27/07,2.58
2006,27,169,1/27/07,2.53
2006,27,169,1/27/07,2.67
2006,27,169,1/27/07,3.05
2006,27,169,1/27/07,2.55
2006,27,169,1/27/07,2.25
2006,27,169,1/27/07,3.25
2006,27,169,1/27/07,3.02
2006,27,169,1/27/07,3.3
2006,27,169,1/27/07,2.6
2006,27,169,1/27/07,3.15
2006,27,169,1/27/07,2.2
2012,27,169,1/27/13,3.45
2012,27,169,1/27/13,3.5
2012,27,169,1/27/13,3.05
2012,27,169,1/27/13,3.35
2012,27,169,1/27/13,3.05
2012,27,169,1/27/13,2.9
2012,27,169,1/27/13,3.55
2012,27,169,1/27/13,3.15
2012,27,169,1/27/13,3.2
2015,27,169,1/27/16,3.5
2015,27,169,1/27/16,3.1
2015,27,169,1/27/16,2.85
2015,27,169,1/27/16,3.05
2015,27,169,1/27/16,3.4
2015,27,169,1/27/16,3.4
2015,27,169,1/27/16,3.25
2015,27,169,1/27/16,3.7
2015,27,169,1/27/16,2.95
2015,27,169,1/27/16,3.25
2015,27,169,1/27/16,3.2
2015,28,170,1/28/16,3
2015,28,170,1/28/16,2.65
2015,28,170,1/28/16,3.25
2015,28,170,1/28/16,3.3
2015,28,170,1/28/16,3.55
2015,28,170,1/28/16,3
2015,28,170,1/28/16,3.15
2015,28,170,1/28/16,3.05
2015,28,170,1/28/16,2.85
2015,28,170,1/28/16,3.3
2006,29,171,1/29/07,2.5
2006,29,171,1/29/07,2
2006,29,171,1/29/07,2.7
2006,29,171,1/29/07,2.73
2006,29,171,1/29/07,3.25
2006,29,171,1/29/07,1.95
2006,29,171,1/29/07,2.57
2006,29,171,1/29/07,2.2
2006,29,171,1/29/07,3.14
2006,29,171,1/29/07,2.44
2006,29,171,1/29/07,3.2
2006,29,171,1/29/07,2.66
2006,29,171,1/29/07,2.43
2006,29,171,1/29/07,3.15
2006,29,171,1/29/07,2.25
2006,29,171,1/29/07,2.57
2006,29,171,1/29/07,3.1
2006,29,171,1/29/07,2.01
2006,29,171,1/29/07,2.25
2006,29,171,1/29/07,2.16
2006,29,171,1/29/07,2.97
2006,29,171,1/29/07,2.88
2006,29,171,1/29/07,2.13
2006,29,171,1/29/07,2.03
2012,29,171,1/29/13,2.85
2012,29,171,1/29/13,3.35
2012,29,171,1/29/13,3.55
2012,29,171,1/29/13,2.9
2012,29,171,1/29/13,2.95
2012,29,171,1/29/13,3.25
2012,29,171,1/29/13,2.95
2012,29,171,1/29/13,2.65
2012,29,171,1/29/13,3.45
2012,30,172,1/30/13,2.8
2012,30,172,1/30/13,2.95
2012,30,172,1/30/13,2.85
2012,30,172,1/30/13,3.75
2012,30,172,1/30/13,2.95
2012,30,172,1/30/13,3.55
2012,30,172,1/30/13,3.05
2006,31,173,1/31/07,2.5
2006,31,173,1/31/07,1.55
2006,31,173,1/31/07,2.2
2006,31,173,1/31/07,2.3
2006,31,173,1/31/07,2.3
2006,31,173,1/31/07,2.95
2006,31,173,1/31/07,2.95
2006,31,173,1/31/07,2.375
2006,31,173,1/31/07,2.3
2006,31,173,1/31/07,2.575
2006,31,173,1/31/07,2.825
2006,31,173,1/31/07,2.2
2006,31,173,1/31/07,2.975
